Close,Timestamp,Low,High,Open,TradedDate,Volume,SymbolKey,MA20,MA50,MACD,Confidence,Signal,MA200,MACDHist,MACDSignal,RSI14,ATR
1920.9,2025-10-21T15:37:36.699752,1900.2,1927.5,1915,2025-07-13,5269381,BHARTIARTL,,,,,,,,,,
1920.9,2025-10-21T15:37:36.394670,1900.2,1927.5,1915,2025-07-14,5269381,BHARTIARTL,,,,,,,,,,
1934.2,2025-10-21T15:37:36.078685,1923.2,1943,1924.8,2025-07-15,4163140,BHARTIARTL,,,,,,,,,,
1936.6,2025-10-21T15:37:35.789137,1928.8,1944,1944,2025-07-16,4211258,BHARTIARTL,,,,,,,,,,
1929.9,2025-10-21T15:37:35.481844,1927.6,1944.9,1943.7,2025-07-17,6256455,BHARTIARTL,,,,,,,,,,
1901,2025-10-21T15:37:35.163525,1891.8,1916,1915.1,2025-07-18,4643961,BHARTIARTL,,,,,,,,,,
1909.2,2025-10-21T15:37:34.575482,1892.6,1919.9,1894.8,2025-07-20,5109654,BHARTIARTL,,,,,,,,,,
1909.2,2025-10-21T15:37:34.275901,1892.6,1919.9,1894.8,2025-07-21,5109654,BHARTIARTL,,,,,,,,,,
1906.8,2025-10-21T15:37:33.968184,1883,1911.3,1909.2,2025-07-22,4513541,BHARTIARTL,,,,,,,,,,
1943.8,2025-10-21T15:37:33.629735,1907.3,1949,1920,2025-07-23,5194282,BHARTIARTL,,,,,,,,,,
1936.1,2025-10-21T15:37:33.320182,1933.7,1970.4,1943.8,2025-07-24,4150685,BHARTIARTL,,,,,,,,,,
1937.9,2025-10-21T15:37:33.028776,1925,1952.7,1936.1,2025-07-25,3896884,BHARTIARTL,,,,,,,,,,
1890.3,2025-10-21T15:37:32.407560,1885,1930,1930,2025-07-27,3575044,BHARTIARTL,,,,,,,,,,
1890.3,2025-10-21T15:37:32.033846,1885,1930,1930,2025-07-28,3575044,BHARTIARTL,,,,,,,,,,
1918.3,2025-10-21T15:37:31.720399,1880,1923.6,1880,2025-07-29,3748040,BHARTIARTL,,,,,,,,,,
1932.6,2025-10-21T15:37:31.430566,1922.1,1939.2,1934,2025-07-30,5044683,BHARTIARTL,,,,,,,,,,
1914.3,2025-10-21T15:37:31.134218,1895.6,1926.5,1913,2025-07-31,4674966,BHARTIARTL,,,,,,,,,,
1884.4,2025-10-21T15:37:30.830209,1878,1919.7,1914,2025-08-01,5192594,BHARTIARTL,,,,,,,,,,
1914.6,2025-10-21T15:37:30.221734,1878.5,1919.9,1892,2025-08-03,3074380,BHARTIARTL,,,,,,,,,,
1914.6,2025-10-21T15:37:29.871503,1878.5,1919.9,1892,2025-08-04,3074380,BHARTIARTL,,,,,,,,,,
1931.8,2025-10-21T15:37:29.569456,1912.1,1937.6,1920,2025-08-05,5167672,BHARTIARTL,,,,,,,,,,
1929.7,2025-10-21T15:37:29.271969,1921.6,1964.8,1930,2025-08-06,5461349,BHARTIARTL,,,,,,,,,,
1922.6,2025-10-21T15:37:28.943293,1909.1,1933.3,1928.1,2025-08-07,4268534,BHARTIARTL,,,,,,,,,,
